#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
Aminotran_1_2        PF00155.20   363 sve:SVEN_3146        -            475   5.2e-07   20.2   0.0   1   1   2.8e-08   9.6e-07   19.3   0.0    23   360   117   460   110   463 0.74 Aminotransferase class I and II
Glyco_trans_4_4      PF13579.5    160 sve:SVEN_5196        -            308   9.5e-05   14.0   0.1   1   3      0.19       6.3   -1.6   0.0    10    23    44    57    41    84 0.77 Glycosyl transferase 4-like domain
Glyco_trans_4_4      PF13579.5    160 sve:SVEN_5196        -            308   9.5e-05   14.0   0.1   2   3   0.00073     0.025    6.2   0.0     6    42   168   211   167   246 0.75 Glycosyl transferase 4-like domain
Glyco_trans_4_4      PF13579.5    160 sve:SVEN_5196        -            308   9.5e-05   14.0   0.1   3   3    0.0025     0.086    4.4   0.0    13    26   264   277   262   298 0.78 Glycosyl transferase 4-like domain
Aminotran_1_2        PF00155.20   363 sve:SVEN_2570        -            479   9.5e-05   12.8   0.0   1   1   4.2e-06   0.00014   12.2   0.0    69   197   140   271    91   290 0.77 Aminotransferase class I and II
Aminotran_1_2        PF00155.20   363 sve:SVEN_6775        -            418   1.7e-07   21.8   0.0   1   1   7.6e-09   2.6e-07   21.2   0.0   129   283   182   329   176   411 0.77 Aminotransferase class I and II
AMP-binding          PF00501.27   423 sve:SVEN_3097        -            521   2.8e-98  320.3   0.5   1   1  9.9e-100   3.4e-98  320.1   0.5     2   422    17   422    16   423 0.86 AMP-binding enzyme
Aminotran_1_2        PF00155.20   363 sve:SVEN_5339        -            444   1.7e-07   21.8   0.0   1   2   4.2e-06   0.00014   12.2   0.0     5   116    60   166    56   175 0.75 Aminotransferase class I and II
Aminotran_1_2        PF00155.20   363 sve:SVEN_5339        -            444   1.7e-07   21.8   0.0   2   2    0.0001    0.0036    7.6   0.0   171   334   243   409   236   422 0.67 Aminotransferase class I and II
AMP-binding          PF00501.27   423 sve:SVEN_0293        -            429   1.7e-19   60.8   0.3   1   1   2.4e-20   8.1e-19   58.5   0.3   167   371    91   288    57   332 0.82 AMP-binding enzyme
ATP-grasp_3          PF02655.13   161 sve:SVEN_2566        -            647   2.7e-06   18.7   0.0   1   1   1.3e-07   4.6e-06   17.9   0.0     2   159   120   297   119   299 0.79 ATP-grasp domain
Glyco_trans_4_4      PF13579.5    160 sve:SVEN_1739        -            364   1.6e-07   23.1   1.3   1   3   4.7e-09   1.6e-07   23.1   1.3     9   107    19   126    12   180 0.63 Glycosyl transferase 4-like domain
Glyco_trans_4_4      PF13579.5    160 sve:SVEN_1739        -            364   1.6e-07   23.1   1.3   2   3     0.055       1.9    0.1   0.2    44    83   188   226   141   260 0.55 Glycosyl transferase 4-like domain
Glyco_trans_4_4      PF13579.5    160 sve:SVEN_1739        -            364   1.6e-07   23.1   1.3   3   3      0.64        22   -3.4   0.0    46    59   323   336   307   351 0.53 Glycosyl transferase 4-like domain
Aminotran_1_2        PF00155.20   363 sve:SVEN_1552        -            422   3.5e-05   14.2   0.0   1   1   3.2e-06   0.00011   12.6   0.0   113   187   151   214    75   399 0.69 Aminotransferase class I and II
ACP_syn_III_C        PF08541.9     90 sve:SVEN_6207        -            311   5.4e-11   33.8   0.0   1   2      0.33        11   -2.5   0.0    48    76   114   140    90   141 0.57 3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III C terminal
ACP_syn_III_C        PF08541.9     90 sve:SVEN_6207        -            311   5.4e-11   33.8   0.0   2   2   5.2e-12   1.8e-10   32.1   0.0     5    86   222   304   218   307 0.92 3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III C terminal
AMP-binding          PF00501.27   423 sve:SVEN_0876        -            495  2.4e-112  366.7   0.4   1   1    1e-113  3.4e-112  366.2   0.4     3   422    11   400     9   401 0.87 AMP-binding enzyme
Aminotran_1_2        PF00155.20   363 sve:SVEN_5774        -            391   1.9e-40  130.3   0.0   1   1   6.7e-42   2.3e-40  129.9   0.0    31   363    57   386    43   386 0.88 Aminotransferase class I and II
AMP-binding          PF00501.27   423 sve:SVEN_6773        -            559   6.2e-96  312.6   0.1   1   1   2.2e-97   7.4e-96  312.4   0.1     2   422    32   455    31   456 0.86 AMP-binding enzyme
Acyl_transf_1        PF00698.20   319 sve:SVEN_2207        -            307   1.1e-20   65.5   2.3   1   1   3.8e-22   1.3e-20   65.2   2.3     3   283     7   284     5   301 0.86 Acyl transferase domain
Enoyl_reductase      PF12241.7    236 sve:SVEN_6171        -            330   3.2e-81  263.3   0.0   1   1   2.4e-82     4e-81  262.9   0.0     1   217    12   233    12   248 0.94 Trans-2-enoyl-CoA reductase catalytic region
Eno-Rase_FAD_bd      PF07055.11    64 sve:SVEN_6171        -            330   1.3e-25   80.9   0.0   1   1   1.4e-26   2.4e-25   80.0   0.0     1    64   256   319   256   319 0.98 Enoyl reductase FAD binding domain
AMP-binding          PF00501.27   423 sve:SVEN_3333        -            706   2.1e-95  310.9   0.2   1   1   7.5e-97   2.6e-95  310.6   0.2     5   422   144   578   139   579 0.89 AMP-binding enzyme
Ectoine_synth        PF06339.11   127 sve:SVEN_0228        -            138   5.3e-57  182.7   0.2   1   1   1.8e-58     6e-57  182.5   0.2     1   125     1   127     1   129 0.98 Ectoine synthase
AMP-binding          PF00501.27   423 sve:SVEN_3112        -            627     2e-91  297.8   0.0   1   1   7.6e-93   2.6e-91  297.4   0.0     4   422    48   492    46   493 0.86 AMP-binding enzyme
Docking              PF08990.10    26 sve:SVEN_1631        -            916   0.00048   11.0   1.8   1   1   5.3e-05    0.0018    9.1   1.8     7    20   786   799   785   799 0.93 Erythronolide synthase docking
Aminotran_1_2        PF00155.20   363 sve:SVEN_0728        -            360   5.1e-05   13.6   0.1   1   2      0.08       2.7   -1.9   0.0    67    88    70    90    21   137 0.63 Aminotransferase class I and II
Aminotran_1_2        PF00155.20   363 sve:SVEN_0728        -            360   5.1e-05   13.6   0.1   2   2     3e-06    0.0001   12.7   0.1   161   303   161   300   141   353 0.70 Aminotransferase class I and II
Aminotran_1_2        PF00155.20   363 sve:SVEN_4072        -            389   3.6e-09   27.3   0.0   1   1   1.6e-10   5.3e-09   26.8   0.0    55   187    70   181    50   184 0.80 Aminotransferase class I and II
Aminotran_1_2        PF00155.20   363 sve:SVEN_0652        -            488   7.7e-05   13.1   0.0   1   1   3.7e-06   0.00013   12.4   0.0    46   192    67   200    52   226 0.78 Aminotransferase class I and II
ATP-grasp_3          PF02655.13   161 sve:SVEN_4194        -            663   5.6e-07   20.9   0.0   1   1     3e-08     1e-06   20.1   0.0    27   159   162   307   149   309 0.87 ATP-grasp domain
Aminotran_1_2        PF00155.20   363 sve:SVEN_1613        -            403   7.8e-58  187.4   0.0   1   1   2.6e-59   8.7e-58  187.3   0.0     3   362    34   393    32   394 0.92 Aminotransferase class I and II
ACP_syn_III_C        PF08541.9     90 sve:SVEN_6362        -            318     1e-28   90.6   1.0   1   3     0.019      0.21    3.0   0.1     1    16    64    79    64   140 0.81 3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III C terminal
ACP_syn_III_C        PF08541.9     90 sve:SVEN_6362        -            318     1e-28   90.6   1.0   2   3      0.48       5.4   -1.5   0.0    67    83   150   166   134   170 0.75 3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III C terminal
ACP_syn_III_C        PF08541.9     90 sve:SVEN_6362        -            318     1e-28   90.6   1.0   3   3   4.7e-28   5.3e-27   85.1   0.0     1    89   228   316   228   317 0.98 3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III C terminal
Chal_sti_synt_N      PF00195.18   225 sve:SVEN_6362        -            318   4.1e-06   17.5   1.7   1   1     7e-07   7.9e-06   16.5   1.7    97   223    50   169    17   171 0.76 Chalcone and stilbene synthases, N-terminal domain
HMG_CoA_synt_N       PF01154.16   174 sve:SVEN_6362        -            318   9.3e-06   16.7   0.0   1   1   1.6e-06   1.8e-05   15.8   0.0     7   147     6   141     2   169 0.85 Hydroxymethylglutaryl-coenzyme A synthase N terminal
ACP_syn_III_C        PF08541.9     90 sve:SVEN_5007        -            356   1.3e-06   19.7   2.5   1   3      0.34        12   -2.5   0.0    22    46    11    35     7    36 0.83 3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III C terminal
ACP_syn_III_C        PF08541.9     90 sve:SVEN_5007        -            356   1.3e-06   19.7   2.5   2   3    0.0004     0.013    6.9   0.8    37    89    82   134    67   135 0.86 3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III C terminal
ACP_syn_III_C        PF08541.9     90 sve:SVEN_5007        -            356   1.3e-06   19.7   2.5   3   3     2e-05   0.00068   11.0   0.1    49    81   295   326   293   328 0.79 3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III C terminal
Glyco_trans_4_4      PF13579.5    160 sve:SVEN_5916        -            188   0.00012   13.7   2.5   1   1   3.1e-05     0.001   10.7   2.5     4    25    28    49    25   144 0.74 Glycosyl transferase 4-like domain
Glyco_trans_4_4      PF13579.5    160 sve:SVEN_2959        -            329     0.033    5.8  16.9   1   3    0.0002    0.0068    8.0   5.6     1   103     9   113     9   132 0.70 Glycosyl transferase 4-like domain
Glyco_trans_4_4      PF13579.5    160 sve:SVEN_2959        -            329     0.033    5.8  16.9   2   3     0.012      0.39    2.3   0.4     7    46    95   131    93   235 0.76 Glycosyl transferase 4-like domain
Glyco_trans_4_4      PF13579.5    160 sve:SVEN_2959        -            329     0.033    5.8  16.9   3   3    0.0045      0.15    3.6   1.8    25    71   278   326   253   329 0.54 Glycosyl transferase 4-like domain
AMP-binding          PF00501.27   423 sve:SVEN_6774        -            518  1.4e-107  351.0   0.0   1   1  4.8e-109  1.6e-107  350.7   0.0     1   422     8   427     8   428 0.85 AMP-binding enzyme
ACP_syn_III_C        PF08541.9     90 sve:SVEN_6208        -            321     1e-10   32.9   0.0   1   2     0.032       1.1    0.8   0.0    22    50   107   136   101   148 0.79 3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III C terminal
ACP_syn_III_C        PF08541.9     90 sve:SVEN_6208        -            321     1e-10   32.9   0.0   2   2   3.3e-11   1.1e-09   29.6   0.0    10    79   240   310   232   320 0.86 3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III C terminal
Aminotran_1_2        PF00155.20   363 sve:SVEN_4664        -            403   8.4e-57  184.0   0.0   1   1   2.8e-58   9.4e-57  183.9   0.0     3   361    34   391    32   393 0.91 Aminotransferase class I and II
ACP_syn_III_C        PF08541.9     90 sve:SVEN_3452        -            340   5.3e-29   91.5   0.2   1   2      0.86        15   -2.8   0.0    23    36    27    40    23    43 0.80 3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III C terminal
ACP_syn_III_C        PF08541.9     90 sve:SVEN_3452        -            340   5.3e-29   91.5   0.2   2   2   1.4e-29   2.3e-28   89.5   0.2     5    90   248   333   245   333 0.95 3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III C terminal
Chal_sti_synt_N      PF00195.18   225 sve:SVEN_3452        -            340   1.9e-08   25.1   3.9   1   2     0.048      0.82    0.2   0.0     7    35     4    33     1    45 0.80 Chalcone and stilbene synthases, N-terminal domain
Chal_sti_synt_N      PF00195.18   225 sve:SVEN_3452        -            340   1.9e-08   25.1   3.9   2   2   2.2e-09   3.8e-08   24.1   2.3    88   223    49   175    38   177 0.82 Chalcone and stilbene synthases, N-terminal domain
AMP-binding          PF00501.27   423 sve:SVEN_0304        -            516   7.4e-70  226.7   0.0   1   1   2.7e-71     9e-70  226.4   0.0     1   422     8   411     8   412 0.85 AMP-binding enzyme
AMP-binding          PF00501.27   423 sve:SVEN_1791        -            598  4.6e-103  336.1   0.0   1   1  1.6e-104  5.5e-103  335.8   0.0     2   422    23   466    22   467 0.86 AMP-binding enzyme
AMP-binding          PF00501.27   423 sve:SVEN_2340        -            625   9.7e-99  321.8   0.6   1   1  3.6e-100   1.2e-98  321.5   0.6     2   422    20   489    19   490 0.87 AMP-binding enzyme
ATP-grasp_3          PF02655.13   161 sve:SVEN_5974        -            393   0.00026   12.2   0.0   1   1   1.2e-05   0.00042   11.6   0.0    34   159   154   293   133   295 0.75 ATP-grasp domain
Aminotran_1_2        PF00155.20   363 sve:SVEN_0843        -            393   1.8e-56  182.9   0.0   1   1     6e-58     2e-56  182.8   0.0     2   363    44   385    43   385 0.94 Aminotransferase class I and II
Aminotran_1_2        PF00155.20   363 sve:SVEN_5144        -            422   1.5e-13   41.8   0.0   1   1   6.6e-15   2.2e-13   41.2   0.0    40   346    65   366    40   374 0.73 Aminotransferase class I and II
ATP-grasp_3          PF02655.13   161 sve:SVEN_5252        -            379   1.9e-06   19.2   0.0   1   1   1.8e-07   6.2e-06   17.5   0.0    31   155   199   338   178   342 0.75 ATP-grasp domain
AMP-binding          PF00501.27   423 sve:SVEN_6013        -            559   1.3e-68  222.6   0.0   1   1   4.8e-70   1.6e-68  222.3   0.0    21   422    75   456    49   457 0.84 AMP-binding enzyme
ATP-grasp_3          PF02655.13   161 sve:SVEN_3824        -            445   4.6e-07   21.2   0.0   1   1   2.7e-08   9.2e-07   20.2   0.0    17   122   143   263   131   310 0.61 ATP-grasp domain
